"OGid","Phco_ech1","Phco_ech2","Phco_ech3","Phlu_ech1","Phlu_ech2","Phlu_ech3","Hbet_ech1","Hbet_ech2","Hbet_ech3","Hkan_ech1","Hkan_ech2","Hkan_ech3","Gpru_ech1","Gpru_ech2","Gpru_ech3","Grac_ech1","Grac_ech2","Grac_ech3","Pgab_ech1","Pgab_ech2","Pgab_ech3","Psem_ech1","Psem_ech2","Psem_ech3","Pcos_ech1","Pcos_ech2","Pgra_ech1","Pgra_ech2","Prev_ech1","Prev_ech2","Mper_ech1","Mper_ech2","Mper_ech3","Ncfi_ech1","Ncfi_ech2","Nmon_ech1","Nmon_ech2","ScorA_ech2","ScorA_ech3","ScorB_ech1","ScorB_ech2","ScorB_ech3","ScorC_ech1","ScorC_ech2","ScorC_ech3","ScorD_ech1","ScorD_ech2","ScorD_ech3"
"69",1866,1866,1866,1899,1899,1899,2258,2258,2258,2136,2136,2136,1905,1905,1905,1918,1918,1918,1521,1521,1521,2184,2184,2184,2267,2267,2111,2111,204,204,4628,4628,4628,1906,1906,1899,1899,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429
"70",2948,2948,2948,2957,2957,2957,2417,2417,2417,1994,1994,1994,1786,1786,1786,1815,1815,1815,1822,1822,1822,2202,2202,2202,1505,1505,2985,2985,218,218,3310,3310,3310,1833,1833,1839,1839,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684
"71",1138,1138,1138,1531,1531,1531,441,441,441,1267,1267,1267,1424,1424,1424,1554,1554,1554,1656,1656,1656,1791,1791,1791,1666,1666,1438,1438,270,270,3945,3945,3945,NA,NA,2117,2117,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451
"72",2538,2538,2538,2004,2004,2004,2431,2431,2431,1963,1963,1963,1992,1992,1992,2004,2004,2004,1706,1706,1706,1940,1940,1940,1757,1757,2054,2054,3518,3518,5565,5565,5565,2021,2021,2878,2878,1857,1857,1857,1857,1857,1857,1857,1857,1857,1857,1857
"73",1499,1499,1499,2044,2044,2044,1602,1602,1602,2550,2550,2550,1655,1655,1655,1620,1620,1620,NA,NA,NA,1286,1286,1286,420,420,1015,1015,708,708,3594,3594,3594,NA,NA,2193,2193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2114,2114,2114,3054,3054,3054,4350,4350,4350,3546,3546,3546,2470,2470,2470,2519,2519,2519,2386,2386,2386,3695,3695,3695,2303,2303,2229,2229,1343,1343,4480,4480,4480,2428,2428,2404,2404,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338,2338
"75",3526,3526,3526,2319,2319,2319,3385,3385,3385,3146,3146,3146,3525,3525,3525,3547,3547,3547,2687,2687,2687,3244,3244,3244,2791,2791,2727,2727,1710,1710,9555,9555,9555,3309,3309,3761,3761,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328
"76",3406,3406,3406,2597,2597,2597,2858,2858,2858,3076,3076,3076,2995,2995,2995,3107,3107,3107,3157,3157,3157,3955,3955,3955,3078,3078,3627,3627,1547,1547,6573,6573,6573,2967,2967,2925,2925,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901,2901
"77",1834,1834,1834,1854,1854,1854,1829,1829,1829,1976,1976,1976,1662,1662,1662,2147,2147,2147,1859,1859,1859,1720,1720,1720,1829,1829,1835,1835,717,717,2437,2437,2437,2600,2600,1775,1775,2633,2633,2633,2633,2633,2633,2633,2633,2633,2633,2633
"78",644,644,644,NA,NA,NA,NA,NA,NA,349,349,349,NA,NA,NA,NA,NA,NA,1247,1247,1247,2089,2089,2089,1753,1753,532,532,370,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1499,1499,1499,1212,1212,1212,1537,1537,1537,1270,1270,1270,1354,1354,1354,1191,1191,1191,1536,1536,1536,1503,1503,1503,1518,1518,1348,1348,661,661,3045,3045,3045,1448,1448,927,927,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043,1043
"80",4093,4093,4093,3003,3003,3003,3898,3898,3898,3064,3064,3064,4359,4359,4359,4393,4393,4393,4020,4020,4020,4999,4999,4999,2745,2745,2438,2438,202,202,8243,8243,8243,3828,3828,4613,4613,5661,5661,5661,5661,5661,5661,5661,5661,5661,5661,5661
"81",1266,1266,1266,310,310,310,1690,1690,1690,1602,1602,1602,2224,2224,2224,1987,1987,1987,2100,2100,2100,1954,1954,1954,1740,1740,1434,1434,1426,1426,3472,3472,3472,1915,1915,1605,1605,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785
"82",2496,2496,2496,2364,2364,2364,2091,2091,2091,2151,2151,2151,2055,2055,2055,2060,2060,2060,2265,2265,2265,2070,2070,2070,2202,2202,2413,2413,2668,2668,3674,3674,3674,2242,2242,2437,2437,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231
"83",553,553,553,1295,1295,1295,618,618,618,1967,1967,1967,499,499,499,1010,1010,1010,1201,1201,1201,1533,1533,1533,247,247,2267,2267,2217,2217,4456,4456,4456,1786,1786,3285,3285,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310
"84",1197,1197,1197,1631,1631,1631,1860,1860,1860,1818,1818,1818,1723,1723,1723,1737,1737,1737,4002,4002,4002,4193,4193,4193,3007,3007,2467,2467,476,476,3826,3826,3826,1926,1926,1678,1678,1719,1719,1719,1719,1719,1719,1719,1719,1719,1719,1719
"85",949,949,949,960,960,960,743,743,743,NA,NA,NA,778,778,778,1076,1076,1076,441,441,441,1040,1040,1040,1037,1037,854,854,269,269,1454,1454,1454,904,904,883,883,810,810,810,810,810,810,810,810,810,810,810
"86",1316,1316,1316,1430,1430,1430,1584,1584,1584,1463,1463,1463,1565,1565,1565,1138,1138,1138,1517,1517,1517,1421,1421,1421,553,553,1776,1776,2216,2216,3428,3428,3428,1488,1488,2453,2453,1269,1269,1269,1269,1269,1269,1269,1269,1269,1269,1269
"87",2223,2223,2223,2612,2612,2612,1744,1744,1744,2198,2198,2198,1828,1828,1828,1956,1956,1956,1835,1835,1835,2220,2220,2220,1716,1716,1886,1886,798,798,4414,4414,4414,1951,1951,2789,2789,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"88",673,673,673,673,673,673,587,587,587,1233,1233,1233,NA,NA,NA,1018,1018,1018,926,926,926,534,534,534,1124,1124,1106,1106,2133,2133,NA,NA,NA,1117,1117,849,849,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
"89",2304,2304,2304,2368,2368,2368,2115,2115,2115,2903,2903,2903,2225,2225,2225,2274,2274,2274,2386,2386,2386,2402,2402,2402,2459,2459,2413,2413,3425,3425,5854,5854,5854,2524,2524,2455,2455,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187
"90",899,899,899,953,953,953,992,992,992,901,901,901,877,877,877,922,922,922,1578,1578,1578,625,625,625,2618,2618,497,497,414,414,3738,3738,3738,1329,1329,1594,1594,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029
"91",1547,1547,1547,1627,1627,1627,2784,2784,2784,2994,2994,2994,1465,1465,1465,3001,3001,3001,1520,1520,1520,1548,1548,1548,1499,1499,1627,1627,416,416,1374,1374,1374,NA,NA,342,342,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474
"92",1432,1432,1432,1466,1466,1466,1373,1373,1373,2190,2190,2190,1836,1836,1836,1582,1582,1582,1923,1923,1923,1635,1635,1635,1519,1519,1591,1591,1481,1481,2904,2904,2904,1446,1446,1097,1097,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286
"93",4646,4646,4646,3186,3186,3186,229,229,229,2740,2740,2740,4992,4992,4992,3935,3935,3935,9223,9223,9223,14054,14054,14054,1697,1697,3671,3671,10037,10037,21932,21932,21932,7053,7053,6502,6502,6744,6744,6744,6744,6744,6744,6744,6744,6744,6744,6744
"94",1748,1748,1748,1945,1945,1945,1986,1986,1986,1990,1990,1990,1975,1975,1975,2091,2091,2091,582,582,582,1935,1935,1935,2045,2045,2036,2036,319,319,5251,5251,5251,1907,1907,1466,1466,1787,1787,1787,1787,1787,1787,1787,1787,1787,1787,1787
"95",2010,2010,2010,1984,1984,1984,1886,1886,1886,2783,2783,2783,2178,2178,2178,1784,1784,1784,2085,2085,2085,2042,2042,2042,2043,2043,1813,1813,255,255,4925,4925,4925,2131,2131,2151,2151,1973,1973,1973,1973,1973,1973,1973,1973,1973,1973,1973
"96",1493,1493,1493,1360,1360,1360,1661,1661,1661,1618,1618,1618,NA,NA,NA,1572,1572,1572,1343,1343,1343,1275,1275,1275,1512,1512,1473,1473,1153,1153,1783,1783,1783,1459,1459,1622,1622,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378
"97",1722,1722,1722,1707,1707,1707,NA,NA,NA,1239,1239,1239,2331,2331,2331,1603,1603,1603,1615,1615,1615,1595,1595,1595,1729,1729,1696,1696,1486,1486,312,312,312,2235,2235,1398,1398,1237,1237,1237,1237,1237,1237,1237,1237,1237,1237,1237
"98",2249,2249,2249,3146,3146,3146,2312,2312,2312,2114,2114,2114,2665,2665,2665,2838,2838,2838,2189,2189,2189,2638,2638,2638,2485,2485,2953,2953,1910,1910,3359,3359,3359,2480,2480,1627,1627,2709,2709,2709,2709,2709,2709,2709,2709,2709,2709,2709
"99",1482,1482,1482,1492,1492,1492,1685,1685,1685,1573,1573,1573,1520,1520,1520,NA,NA,NA,1278,1278,1278,949,949,949,1544,1544,1582,1582,226,226,3795,3795,3795,1731,1731,2644,2644,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310,1310
"100",1797,1797,1797,2231,2231,2231,4220,4220,4220,4564,4564,4564,3389,3389,3389,2185,2185,2185,2227,2227,2227,2261,2261,2261,2183,2183,1562,1562,401,401,4630,4630,4630,1890,1890,1024,1024,3544,3544,3544,3544,3544,3544,3544,3544,3544,3544,3544
"101",1758,1758,1758,1683,1683,1683,1152,1152,1152,1378,1378,1378,NA,NA,NA,1794,1794,1794,1662,1662,1662,865,865,865,1991,1991,1390,1390,1024,1024,3375,3375,3375,1414,1414,2060,2060,2065,2065,2065,2065,2065,2065,2065,2065,2065,2065,2065
"102",857,857,857,1177,1177,1177,1246,1246,1246,NA,NA,NA,1200,1200,1200,1510,1510,1510,938,938,938,1321,1321,1321,1575,1575,833,833,872,872,2255,2255,2255,NA,NA,1200,1200,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011,1011
"103",1315,1315,1315,1540,1540,1540,NA,NA,NA,1839,1839,1839,1390,1390,1390,1180,1180,1180,1956,1956,1956,1164,1164,1164,1041,1041,1793,1793,249,249,12433,12433,12433,5786,5786,3264,3264,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290,1290
